"item_id";"location_id";"trans_date";"qty";"cost_amount"
"0000CD49FA7DFE1158A3BB3DBE8E1489";"B0BDDED34CC83E11052F6792C000B249";"2025-07-10";"4";"471.2"
"0000CD49FA7DFE1158A3BB3DBE8E1489";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"11";"1295.8"
"0000EB60690F9E117260106505009C4A";"B0BDDED34CC83E11052F6792C000B249";"2025-07-10";"11";"3658.00"
"0000EB60690F9E117260106505009C4A";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"30";"9131.01"
"0000EBC0069CEE1191EE1065050029B9";"B0BDDED34CC83E11052F6792C000B249";"2025-07-10";"0";"0.00"
"0000EBC0069CEE1191EE1065050029B9";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"6";"405.72"
"0001AA1D4315EE11B1AD10650500B8EA";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"25";"2604.50"
"0001B48C9CB04E1142D58A650500DB08";"44673735EAF46E11B7B78A650500BC08";"2025-07-10";"1";"242.17"
"0001B48C9CB04E1142D58A650500DB08";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"7";"1657.77"
"000257BC483EFE11F1557891FE690589";"B0BDDED34CC83E11052F6792C000B249";"2025-07-10";"6";"706.03"
"000257BC483EFE11F1557891FE690589";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"13";"1524.42"
"0003B9C6A601CE11877210650500F269";"B0BDDED34CC83E11052F6792C000B249";"2025-07-10";"1";"156.19"
"0003B9C6A601CE11877210650500F269";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"2";"312.4"
"00049E6271BEEE1191EE1065050029B9";"B0BDDED34CC83E11052F6792C000B249";"2025-07-10";"1";"523.37"
"00049E6271BEEE1191EE1065050029B9";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"2";"1046.74"
"0008AB291959FE11128010650500E819";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"1";"439.6"
"0009519CD62CAE11BE2110650500705A";"44673735EAF46E11B7B78A650500BC08";"2025-07-10";"1";"8984"
"000A6D8A48CECE11ADB310650500C8B8";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"1";"134.15"
"000B61F0B28ADE11406610650500924A";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"0";"0.00"
"000D1419D9CC6E11B7B78A650500BC08";"44673735EAF46E11B7B78A650500BC08";"2025-07-10";"48";"4176"
"000D1419D9CC6E11B7B78A650500BC08";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"37";"3219"
"000D3C198EF39E115540106505008D3B";"44673735EAF46E11B7B78A650500BC08";"2025-07-10";"58";"6512.24"
"0010A31CA0900F11F1557891FE690889";"B0BDDED34CC83E11052F6792C000B249";"2025-07-10";"4";"239.14"
"0010A31CA0900F11F1557891FE690889";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"0";"0.00"
"001142C8008CBE118772106505003D59";"44673735EAF46E11B7B78A650500BC08";"2025-07-10";"10";"2340"
"0011932287D2DE11ADB3106505007EB8";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"3";"188.56"
"0012B1A74F4FBE11877210650500C069";"B0BDDED34CC83E11052F6792C000B249";"2025-07-10";"4";"2108.92"
"0012B1A74F4FBE11877210650500C069";"FC081C55582CED11A62CD892C0003F2A";"2025-07-10";"7";"3690.61"
"0016B04B0DFCBE11877210650500DD59";"44673735EAF46E11B7B78A650500BC08";"2025-07-10";"12";"1660.29"
"0016F6E68E657E11B7B78A650500ED08";"B0BDDED34CC83E11052F6792C000B249";"2025-07-10";"2";"656.08"
